Id interne de valorisation;Date;Type;Famille de produit;Code produit;Produit;Param1;Param2;Param3;Description;Prénom utilisateur;Nom utilisateur;Quantité;Prix d'achat;Client/revendeur direct (niv. 1);Réf. client/revendeur direct (niv. 1);Prix d'achat niv. 1 (Prix de revente);Nom client Niveau 2;Ref client Niveau 2;Prix client Niveau 2
17372665784;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844116966;COMMUNE DE MAROEUIL;2024-05-02 10:47:52;;;;1,00;39,00;COMMUNE DE MAROEUIL;411COMMAROEUIL;0,00;;;
17372685641;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844123908;LE MAILLON CR;2024-10-28 12:40:38;;;;1,00;39,00;LE MAILLON C2R;411LEMAILLONC2R;0,00;LE MAILLON C2R;411LEMAILLONC2R;0,00
17372686195;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844123913;ENTREPRISE LIONET;2024-07-10 14:39:20;;;;1,00;39,00;ENTREPRISE LIONET;411LIONET;0,00;ENTREPRISE LIONET - Atelier;411LIONET;0,00
17372694150;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844136369;RESTAURANT HIPPRODROME;2024-11-07 18:38:36;;;;1,00;39,00;LE RESTAURANT DE L'HIPPODROME;411RESTHIPPO;0,00;;;
17372703509;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1222-01-M;FTTH SFR 1 Gb / 200 Mb - Zone ZMD;LAAGADL3;CARTONNAGES VAILLANT;2021-10-07 00:00:00;;;;1,00;39,00;CARTONNAGES VAILLANT;411CARTONNAGES;0,00;;;
17372732801;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844017756;COMMUNE DE MAROEUIL;2020-11-13 00:00:00;;;;1,00;39,00;COMMUNE DE MAROEUIL;411COMMAROEUIL;0,00;;;
17372755953;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1034-01-M;FTTH Orange 200 Mb;750771908;PHARMACIE DU CENTRE CROIX;2018-11-13 00:00:00;;;;1,00;49,00;PHARMACIE DU CENTRE CROIX;411PHARMACROIX;0,00;;;
17372763647;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-204-01-M;FTTH 1 Gb/s Kosc - Z1;S201114_97321;METEORS;2020-11-14 11:24:21;;;;1,00;39,00;METEORS;411METEORS;0,00;;;
17372778196;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1035-01-M;FTTH Orange 1 Gb;VIA000000021355;SOC EXPLOITATION ALFRED LEMAIRE;2021-04-07 00:00:00;;;;1,00;49,00;SOC EXPLOITATION ALFRED LEMAIRE;411ALEMAIRE;0,00;;;
17372779213;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844031442;ACCUEIL FRATERNEL ROUBAISIEN;2021-08-12 12:34:21;;;;1,00;39,00;ACCUEIL FRATERNEL ROUBAISIEN;411AFRSIEGE;0,00;AFR - ACCUEIL FEMMES PROGRES PILE;411AFRPILE;0,00
17372780632;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844031468;ACCUEIL FRATERNEL ROUBAISIEN;2021-08-11 10:35:17;;;;1,00;39,00;ACCUEIL FRATERNEL ROUBAISIEN;411AFRSIEGE;0,00;AFR - TANNERIE;411AFRTANNERIE;0,00
17372783269;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1035-01-M;FTTH Orange 1 Gb;VIA000000021352;L'ESPRIT DE TERROIR SELON LA TRADITION;2021-04-13 00:00:00;;;;1,00;49,00;L'ESPRIT DE TERROIR;411LESPRITTERR;0,00;;;
17372791994;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-018-01-M;ADSL Orange Nu;0328040610;SAM ET LIE;2020-09-22 00:00:00;;;;1,00;33,50;SAM ET LIE;411SAMETLIE;0,00;SAM ET LIE (site principal);411SAMETLIE;0,00
17372846364;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1034-01-M;FTTH Orange 200 Mb;751178320;SCM DENTY;2018-12-27 00:00:00;;;;1,00;49,00;SCM DENTY;411SCMDENTY;0,00;;;
17372934535;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-325-01-M;SDSL EFM 512 Kbps - Orange Zone ZC1 - 1 paire;0327860309;GROUPE DROUOT;2019-02-19 21:16:21;;;;1,00;58,00;MADAME SANDRA SULPIZI (AXA);411SULPIZI;0,00;MADAME SANDRA SULPIZI (AXA) (site SOMAIN);411SULPIZI;0,00
17372986267;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-204-01-M;FTTH 1 Gb/s Kosc - Z1;S190402_36001;DELEU IMMOBILIER;2019-04-02 00:00:00;;;;1,00;39,00;DELEU IMMOBILIER (Wasquehal);411DELEU;0,00;DELEU IMMOBILIER (Wasquehal) (site principal);411DELEU;0,00
17372986367;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-225-01-M;VDSL Dégroupage total 36 mois;0320264674;IMMOBILIERE DE NEUVILLE;2019-04-02 00:00:00;;;;1,00;42,50;DELEU IMMOBILIER (Wasquehal);411DELEU;0,00;IMMOBILIERE DE NEUVILLE;411IMMONEUVIL;0,00
17372986547;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-204-01-M;FTTH 1 Gb/s Kosc - Z1;S190402_38002;DELEU IMMOBILIER;2019-04-02 00:00:00;;;;1,00;39,00;DELEU IMMOBILIER (Wasquehal);411DELEU;0,00;DELEU IMMOBILIER (Mouvaux);411DELEUMOUV;0,00
17372989452;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-225-01-M;VDSL Dégroupage total 36 mois;0327740710;HOMZA;2021-10-26 00:00:00;;;;1,00;42,50;HOMZA;411HOMZA;0,00;;;
17373016530;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-204-01-M;FTTH 1 Gb/s Kosc - Z1;S220317_73416;ALERTE IMMO;2022-03-17 18:39:21;;;;1,00;39,00;ALERTE IMMO;411ALERTEIMMO;0,00;ALERTE IMMO (site principal);411ALERTEIMMO;0,00
17373026195;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-018-01-M;ADSL Orange Nu;0321225357;COMMUNE DE MAROEUIL;2023-06-27 00:00:00;;;;1,00;33,50;COMMUNE DE MAROEUIL;411COMMAROEUIL;0,00;;;
